ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	WSEN			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZWERISCO			DyenDB	003-200	A	003-200
004	POPEL			DyenDB	004-003	A	004-003
005	WU			DyenDB	005-200	A	005-211
006	KSEBJAT			DyenDB	006-004	A	006-004
007	ZLY			DyenDB	007-207	A	007-207
008	SKORA			DyenDB	008-202	A	008-204
009	PSETO			DyenDB	009-207	A	009-207
010	BRUCH			DyenDB	010-209	A	010-211
011	WELIKI			DyenDB	011-006	A	011-006
012	PTAK			DyenDB	012-207	A	012-207
013	KUSAS			DyenDB	013-011	A	013-011
014	CARNY			DyenDB	014-004	A	014-004
015	KSEJ			DyenDB	015-005	A	015-005
016	DUS			DyenDB	016-203	A	016-207
017	KOSC			DyenDB	017-201	A	017-201
019	DYCHAS			DyenDB	019-002	A	019-002
020	PALIS			DyenDB	020-200	A	020-202
021	ZESE			DyenDB	021-004	A	021-004
022	KURAWA			DyenDB	022-005	A	022-005
023	CHLODNY			DyenDB	023-200	A	023-202
024	PSIS			DyenDB	024-203	A	024-203
025	LICYS			DyenDB	025-006	A	025-006
026	REZAS			DyenDB	026-207	A	026-207
027	ZEN			DyenDB	027-003	A	027-003
028	MRES			DyenDB	028-003	A	028-003
029	KOPAS			DyenDB	029-203	A	029-203
030	MAZANY			DyenDB	030-006	A	030-006
031	PJAS			DyenDB	031-200	A	031-200
032	PIS			DyenDB	032-004	A	032-004
033	SUCHY			DyenDB	033-205	A	033-205
034	TUPY			DyenDB	034-002	A	034-002
035	PROCH			DyenDB	035-200	A	035-202
036	HUCHO			DyenDB	036-200	A	036-200
037	ZEMJA			DyenDB	037-200	A	037-200
038	JESC			DyenDB	038-006	A	038-006
039	JAJO			DyenDB	039-007	A	039-007
040	WOKO			DyenDB	040-002	A	040-002
041	PADAS			DyenDB	041-207	A	041-207
042	DALOKI			DyenDB	042-205	A	042-205
043	TUK			DyenDB	043-005	A	043-005
044	NAN			DyenDB		A	
045	BOJAS SE			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
048	WOJOWAS			DyenDB	048-011	A	048-011
050	HOGEN			DyenDB	050-004	A	050-004
051	RYBA			DyenDB	051-003	A	051-003
052	PES			DyenDB	052-002	A	052-002
054	SAC			DyenDB	054-004	A	054-004
055	KWET			DyenDB	055-200	A	055-200
056	LESES			DyenDB	056-202	A	056-204
057	MLA			DyenDB	057-200	A	057-200
058	NOGA			DyenDB	058-003	A	058-003
059	STYRI			DyenDB	059-002	A	059-002
060	MARZNUS			DyenDB	060-005	A	060-005
063	DAS			DyenDB	063-200	A	063-200
064	DOBRY			DyenDB	064-004	A	064-004
065	TSAWA			DyenDB	065-006	A	065-006
066	ZELENY			DyenDB	066-200	A	066-200
067	CROWO			DyenDB	067-003	A	067-003
068	LOS			DyenDB	068-203	A	068-203
069	RUKA			DyenDB	069-005	A	069-005
070	WON			DyenDB	070-200	A	070-200
071	GLOWA			DyenDB	071-002	A	071-002
072	SLYSAS			DyenDB	072-205	A	072-205
073	HUTSOBA			DyenDB	073-004	A	073-004
074	SEZKI			DyenDB	074-007	A	074-007
075	TU			DyenDB	075-211	A	075-211
076	DERIS			DyenDB	076-205	A	076-205
077	ZARZAS			DyenDB	077-010	A	077-010
079	KAK			DyenDB	079-200	A	079-200
080	LOJS			DyenDB	080-005	A	080-005
081	MUZ			DyenDB	081-206	A	081-206
082	JA			DyenDB	082-200	A	082-200
083	LOD			DyenDB	083-204	A	083-204
084	JOLI AZ			DyenDB	084-002	A	084-002
085	W			DyenDB	085-200	A	085-200
086	ZABIS			DyenDB	086-008	A	086-008
088	ZNAS			DyenDB	088-200	A	088-202
089	JAZOR			DyenDB	089-002	A	089-002
090	SMJAS SE			DyenDB	090-004	A	090-004
091	LIST			DyenDB	091-002	A	091-002
092	LEWY			DyenDB	092-009	A	092-009
093	GIZLA			DyenDB	093-006	A	093-006
094	LAZAS			DyenDB	094-003	A	094-003
095	ZYWIS SE			DyenDB	095-005	A	095-005
096	JETSA			DyenDB	096-203	A	096-203
097	DLUJKI			DyenDB	097-200	A	097-200
098	WES			DyenDB	098-203	A	098-203
099	CLOWEK			DyenDB	099-203	A	099-203
100	MLOGI			DyenDB	100-200	A	100-200
101	MESO			DyenDB	101-007	A	101-007
103	MAS			DyenDB	103-200	A	103-200
104	GORA			DyenDB	104-203	A	104-205
105	HUSTA			DyenDB	105-200	A	105-200
106	ME			DyenDB	106-003	A	106-003
107	HUZKI			DyenDB	107-200	A	107-202
108	BLIZKI			DyenDB	108-002	A	108-002
109	SYJA			DyenDB	109-200	A	109-200
110	NOWY			DyenDB	110-200	A	110-200
111	NOC			DyenDB	111-004	A	111-004
112	NOS			DyenDB	112-005	A	112-005
113	NE			DyenDB	113-005	A	113-005
114	STARY			DyenDB	114-002	A	114-002
115	JADEN			DyenDB	115-200	A	115-200
116	DRUGI			DyenDB	116-200	A	116-200
117	WOSOBA			DyenDB	117-002	A	117-002
118	GRAS			DyenDB	118-200	A	118-200
119	LAC			DyenDB	119-206	A	119-208
120	TLUC			DyenDB	120-006	A	120-006
121	DESC			DyenDB	121-003	A	121-003
122	CERWENY			DyenDB	122-005	A	122-005
123	PSAWY			DyenDB	123-002	A	123-002
125	REKA			DyenDB	125-003	A	125-003
126	PUS			DyenDB	126-004	A	126-004
127	KOREN			DyenDB	127-004	A	127-004
128	POWEZ			DyenDB	128-201	A	128-201
129	GNILY			DyenDB	129-004	A	129-004
131	TRES			DyenDB	131-003	A	131-003
132	SOL			DyenDB	132-002	A	132-002
133	PESK			DyenDB	133-002	A	133-002
134	RAC			DyenDB	134-200	A	134-200
135	SKRABAS			DyenDB	135-200	A	135-203
136	MORO			DyenDB	136-200	A	136-204
137	WIZES			DyenDB	137-003	A	137-003
138	SEME			DyenDB	138-200	A	138-200
139	SYS			DyenDB	139-200	A	139-200
140	WOTSY			DyenDB	140-200	A	140-200
141	KROTKI			DyenDB	141-012	A	141-012
142	SPIWAS			DyenDB	142-006	A	142-006
143	SEJZES			DyenDB	143-200	A	143-200
144	KOZA			DyenDB	144-005	A	144-005
145	NJEBJO			DyenDB	145-002	A	145-002
146	SPAS			DyenDB	146-200	A	146-200
147	MALKI			DyenDB	147-011	A	147-011
